target_path,target_type,target_subject,verdict,reasons,raw_hash_match,canonical_hash_match,body_hash_match,attachment_match_count,simhash_distance,token_jaccard,semantic_cosine
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2022_2023 AUDITING.eml,eml,2022/2023 AUDITING,UNRELATED,,0,0,0,0,17.0,0.096045197740113,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2022_2023 SALARY SCALE.eml,eml,2022/2023 SALARY SCALE,UNRELATED,,0,0,0,0,30.0,0.00964630225080386,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2023-2024 SDBIP.eml,eml,2023-2024 SDBIP,UNRELATED,,0,0,0,0,30.0,0.057971014492753624,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2023-2024 Training Information.eml,eml,2023-2024 Training Information,UNRELATED,,0,0,0,0,18.0,0.10835214446952596,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\20230419 Performance management system.pptx.eml,eml,20230419 Performance management system.pptx,UNRELATED,,0,0,0,0,18.0,0.08888888888888889,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2023_2024 SDBIP.eml,eml,2023/2024 SDBIP,UNRELATED,,0,0,0,0,29.0,0.03821656050955414,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2023_24 TAX GUIDE.eml,eml,2023/24 TAX GUIDE ,UNRELATED,,0,0,0,0,35.0,0.034375,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2024 Annual National Archives Awareness Week.eml,eml,2024 Annual National Archives Awareness Week,UNRELATED,,0,0,0,0,19.0,0.11151079136690648,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2024 Budget speech_ Two pot system on track for 1 Sept 2024 implementation💰.eml,eml,2024 Budget speech: Two pot system on track for 1 Sept 2024 implementation💰,UNRELATED,,0,0,0,0,13.0,0.12338593974175036,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2024 NJMPF Annual Information Meeting_.eml,eml,2024 NJMPF Annual Information Meeting:,UNRELATED,,0,0,0,0,15.0,0.10833333333333334,
"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2024 Payroll Software Comparison_ Paylocity, Paychex, Paycom.eml",eml,"2024 Payroll Software Comparison: Paylocity, Paychex, Paycom",UNRELATED,,0,0,0,0,22.0,0.05099150141643059,
"C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Africa Directors Summit, 21 - 24 November 2023, Lagoon Beach Hotel, Cape Town, South Africa.eml",eml,"2nd Africa Directors Summit, 21 - 24 November 2023, Lagoon Beach Hotel, Cape Town, South Africa",IDENTICAL,raw_sha256_match;canonical_sha256_match,1,1,1,2,0.0,1.0,
C:\Users\info\OneDrive\Documents\email_compare_offline\EXTRACTED FILES\EMAILS\Original format\2nd Annual Empowering Women in Leadership Symposium 2024 (1).eml,eml,2nd Annual Empowering Women in Leadership Symposium 2024,UNRELATED,,0,0,0,0,15.0,0.12771084337349398,
